;0
1;-5,616171000902606
2;-5,26531391688745
3;-5,142413252663993
4;-5,099550625895164
5;-5,028781486281519
6;-5,0021040656679965
7;-4,949586343658814
8;-4,900131168303573
9;-4,876685937270022
10;-4,884077480722181
11;-4,854819645446269
12;-4,805274853825319
13;-4,7856530019282815
14;-4,76864194768534
15;-4,732191787816435
16;-4,722258580343475
17;-4,715022275618509
18;-4,704226203462429
19;-4,693802097826185
20;-4,680079163437231
21;-4,671552007103138
22;-4,663506924697184
23;-4,649951363924177
24;-4,6437630454054055
25;-4,640763812415133
26;-4,633044167642574
27;-4,622621233047958
28;-4,6152465276805055
29;-4,608064495980792
30;-4,602761499062227
31;-4,6077208561694984
32;-4,598181778611369
33;-4,585983466967628
34;-4,582457819845602
35;-4,5738750597309075
36;-4,56779277821101
37;-4,564375160276554
38;-4,558217220384729
39;-4,551846704954486
40;-4,544084164930021
41;-4,53776336522389
42;-4,522455862836168
43;-4,521823184744403
44;-4,537210879771123
45;-4,534206863204161
46;-4,529898120211916
47;-4,525359196696118
48;-4,523245767481348
49;-4,518578419502363
50;-4,523003724967965
51;-4,514950769233912
52;-4,51706589398827
53;-4,51486654831651
54;-4,499687140373309
55;-4,497048722889804
56;-4,493812952072723
57;-4,492097786080473
58;-4,4891785283755175
59;-4,4842942515367366
60;-4,477884779466271
61;-4,476316398792832
62;-4,473779164453216
63;-4,472929607783714
64;-4,4686491988249655
65;-4,464854174456351
66;-4,4606372384122555
67;-4,453524403232489
68;-4,449414471341655
69;-4,44536467275998
70;-4,443124219468313
71;-4,440292339322465
72;-4,436406294389259
73;-4,4346377640500485
74;-4,430664168107372
75;-4,428709534666084
76;-4,427179121178724
77;-4,4262433351982695
78;-4,424982600284866
79;-4,421070433486449
80;-4,416899028135276
81;-4,416846256595716
82;-4,4199147154211005
83;-4,411142861900926
84;-4,410697069724538
85;-4,411791108367974
86;-4,410273407961351
87;-4,400918404571444
88;-4,409090792834908
89;-4,398492788085011
90;-4,398662216560387
91;-4,396372828404832
92;-4,392075712931086
93;-4,397661129246446
94;-4,390869895416894
95;-4,387622130146361
96;-4,386853845072905
97;-4,390930228039915
98;-4,382020420393576
99;-4,392289418217946
100;-4,382270479056466
