;Term 1;Term 2;Term 3;Term 4;Term 5;Term 6;Term 7;Term 8;Term 9;Term 10;Term 11;Term 12;Term 13;Term 14;Term 15;Term 16;Term 17;Term 18;Term 19;Term 20
Topic 1;transaxle;gear;drive;wheel;involute;disk;central;plurality;shaft;road;clamp;differential;axis;direction;moveable;double;face;tooth;include;pinion
Topic 2;stack;button;ring;plurality;retainer;material;active;couple;component;outputshaft;actuator;device;comprise;method;planar;spring;metal;mechanical;transmission;include
Topic 3;ratio;speed;cvt;variator;control;input;method;determine;base;command;include;desire;comprise;change;response;force;rate;secondary;controller;primary
Topic 4;zone;casing;extend;cavity;locate;transmission;wall;inverter;module;power;platform;ground;set;include;define;rib;minimum;system;lid;vehicle
Topic 5;valve;dogclutch;pilot;gear;mem;portion;comprise;set;configure;position;component;include;point;channel;rotary;transmission;coolant;assembly;speed;inflection
Topic 6;rate;gear;predetermine;change;position;method;determine;transmission;control;shift;vehicle;enable;throttle;pedal;comprise;command;exceed;positive;module;start
Topic 7;passage;apply;fluid;communication;bore;mechanism;port;chamber;input;plurality;dam;torquetransmit;channel;house;annular;interconnect;portion;multispeedtransmission;transmission;sensor
Topic 8;axis;transfer;rotate;carrier;rotation;ringgear;sungear;torque;shaft;operatively;configure;differential;piniongear;rotatably;input;mesh;connect;collar;compound;comprise
Topic 9;layshaft;default;gearwheel;gear;assembly;signal;reverse;drive;regulation;plurality;inputshaft;valve;comprise;arrange;manual;hydraulic;position;exhaust;select;clutch
Topic 10;clutch;dct;gear;transmission;speed;input;inputshaft;controller;control;oncoming;vehicle;power;engine;calibrate;engage;method;slip;detect;magnitude;downshift
Topic 11;bearing;rotor;hub;connection;support;portion;rotation;crankshaft;motor;roller;connect;annular;assembly;relative;thrust;direction;electricmotor;comprise;segment;extend
Topic 12;time;threshold;engine;acceleration;direction;determine;rotational;level;amount;oil;sowc;method;base;slope;capacity;comprise;period;system;reach;operate
Topic 13;stator;angle;cavity;piece;annular;component;comprise;flange;side;internal;itoc;selectively;output;clutch;sprocket;case;transfer;mount;outlet;portion
Topic 14;pressure;hydraulic;command;control;monitor;comprise;method;device;fill;circuit;system;clutch;time;base;selectively;transmission;determine;switch;adapt;operation
Topic 15;node;device;engine;connect;powertrain;planetarygearset;hybrid;transmission;operatively;motorgenerator;launch;drive;torquetransmit;vehicle;brake;engage;output;engageable;comprise;include
Topic 16;gear;inputshaft;outputshaft;motorgenerator;rotatable;drive;couple;rotationally;include;shaft;engage;powertrain;axis;starter;rotational;comprise;clutch;engine;connect;torque
Topic 17;control;fluid;valve;solenoid;hydraulic;clutch;communication;actuator;pressure;system;output;flow;assembly;downstream;pressurize;plurality;synchronizer;subsystem;input;include
Topic 18;position;motor;angular;module;central;output;system;velocity;couple;speed;barrel;disk;cradle;control;drive;vehicle;acceleration;design;set;cycloid
Topic 19;position;pawl;chamber;engage;park;tooth;include;dispose;disengage;longitudinal;set;slot;assembly;rod;gear;axis;lock;move;bias;define
Topic 20;oil;pressurize;body;plunger;shifter;function;reservoir;comprise;region;portion;audio;house;assembly;channel;circuit;device;system;steer;storage;lube
Topic 21;detent;shift;position;assembly;output;plurality;gear;include;recess;block;lever;actuator;strut;axially;dispose;manualtransmission;selection;couple;collar;actuate
Topic 22;path;ball;actuation;time;piston;screw;engage;fluid;define;initial;predefine;target;return;nut;measure;direction;pressure;synchronizer;position;movement
Topic 23;position;shift;synchronizer;lever;portion;actuator;fork;gear;dispose;plate;assembly;engage;direction;neutral;cam;configure;shaft;include;rotational;pivot
Topic 24;drive;unit;chain;sprocket;dispose;driveshaft;gear;connect;final;power;motorvehicle;include;baffle;assembly;couple;continuouslyvariable;transmission;driving;output;house
Topic 25;cam;gear;follower;wear;roller;plug;neutral;surface;include;notch;rack;comprise;adjust;park;synchronization;bit;guide;bias;circuit;pattern
Topic 26;differential;expect;half;low;speed;cdrs;high;verify;cdr;shaft;predetermine;define;counter;multiply;vehicle;sum;operate;total;range;include
Topic 27;operate;output;powertrain;control;comprise;speed;system;input;transition;engine;method;brake;operation;associate;mode;couple;plurality;transmission;parameter;driveline
Topic 28;vehicle;clutch;speed;transmission;binary;assembly;controller;include;engine;calibrate;shift;method;plurality;request;threshold;determine;brake;slip;command;connect
Topic 29;transmit;torque;configure;planetary;operatively;device;condition;rotation;couple;unitary;rotor;therewith;selectively;system;temperature;comprise;planetarycarrier;motor;ignition;ringgear
Topic 30;transmission;vehicle;controller;internal;combustion;engine;speedratio;torque;configure;command;method;change;signal;speed;comprise;threshold;input;propulsion;electricmotor;include
Topic 31;gearset;connect;variable;transmission;electrically;device;torque;continuously;motorgenerator;selectively;mode;transfer;input;external;ratio;planetarygearset;speed;carrier;reverse;output
Topic 32;plurality;spline;planetarycarrier;include;shaft;house;opening;stub;clutch;dispose;lubrication;engage;machine;comprise;passageway;extend;mechanical;lift;planetgear;adapt
Topic 33;torque;engine;clutch;control;output;determine;target;command;request;desire;logic;method;offgoing;actual;transmission;controller;select;minimum;inertia;profile
Topic 34;axle;house;rear;front;motor;configure;carrier;pinion;side;extend;tube;center;define;shiftable;axis;comprise;automatically;lower;prevent;web
Topic 35;gear;plane;dispose;engage;shaft;start;centripetal;remote;side;operably;configure;balance;output;couple;disconnect;plurality;include;adjacent;plate;main
