transaxle;gear;drive;wheel;involute;disk;central;plurality;shaft;road;clamp;differential;axis;direction;moveable;double;face;tooth;include;pinion
stack;button;ring;plurality;retainer;material;active;couple;component;outputshaft;actuator;device;comprise;method;planar;spring;metal;mechanical;transmission;include
ratio;speed;cvt;variator;control;input;method;determine;base;command;include;desire;comprise;change;response;force;rate;secondary;controller;primary
zone;casing;extend;cavity;locate;transmission;wall;inverter;module;power;platform;ground;set;include;define;rib;minimum;system;lid;vehicle
valve;dogclutch;pilot;gear;mem;portion;comprise;set;configure;position;component;include;point;channel;rotary;transmission;coolant;assembly;speed;inflection
rate;gear;predetermine;change;position;method;determine;transmission;control;shift;vehicle;enable;throttle;pedal;comprise;command;exceed;positive;module;start
passage;apply;fluid;communication;bore;mechanism;port;chamber;input;plurality;dam;torquetransmit;channel;house;annular;interconnect;portion;multispeedtransmission;transmission;sensor
axis;transfer;rotate;carrier;rotation;ringgear;sungear;torque;shaft;operatively;configure;differential;piniongear;rotatably;input;mesh;connect;collar;compound;comprise
layshaft;default;gearwheel;gear;assembly;signal;reverse;drive;regulation;plurality;inputshaft;valve;comprise;arrange;manual;hydraulic;position;exhaust;select;clutch
clutch;dct;gear;transmission;speed;input;inputshaft;controller;control;oncoming;vehicle;power;engine;calibrate;engage;method;slip;detect;magnitude;downshift
bearing;rotor;hub;connection;support;portion;rotation;crankshaft;motor;roller;connect;annular;assembly;relative;thrust;direction;electricmotor;comprise;segment;extend
time;threshold;engine;acceleration;direction;determine;rotational;level;amount;oil;sowc;method;base;slope;capacity;comprise;period;system;reach;operate
stator;angle;cavity;piece;annular;component;comprise;flange;side;internal;itoc;selectively;output;clutch;sprocket;case;transfer;mount;outlet;portion
pressure;hydraulic;command;control;monitor;comprise;method;device;fill;circuit;system;clutch;time;base;selectively;transmission;determine;switch;adapt;operation
node;device;engine;connect;powertrain;planetarygearset;hybrid;transmission;operatively;motorgenerator;launch;drive;torquetransmit;vehicle;brake;engage;output;engageable;comprise;include
gear;inputshaft;outputshaft;motorgenerator;rotatable;drive;couple;rotationally;include;shaft;engage;powertrain;axis;starter;rotational;comprise;clutch;engine;connect;torque
control;fluid;valve;solenoid;hydraulic;clutch;communication;actuator;pressure;system;output;flow;assembly;downstream;pressurize;plurality;synchronizer;subsystem;input;include
position;motor;angular;module;central;output;system;velocity;couple;speed;barrel;disk;cradle;control;drive;vehicle;acceleration;design;set;cycloid
position;pawl;chamber;engage;park;tooth;include;dispose;disengage;longitudinal;set;slot;assembly;rod;gear;axis;lock;move;bias;define
oil;pressurize;body;plunger;shifter;function;reservoir;comprise;region;portion;audio;house;assembly;channel;circuit;device;system;steer;storage;lube
detent;shift;position;assembly;output;plurality;gear;include;recess;block;lever;actuator;strut;axially;dispose;manualtransmission;selection;couple;collar;actuate
path;ball;actuation;time;piston;screw;engage;fluid;define;initial;predefine;target;return;nut;measure;direction;pressure;synchronizer;position;movement
position;shift;synchronizer;lever;portion;actuator;fork;gear;dispose;plate;assembly;engage;direction;neutral;cam;configure;shaft;include;rotational;pivot
drive;unit;chain;sprocket;dispose;driveshaft;gear;connect;final;power;motorvehicle;include;baffle;assembly;couple;continuouslyvariable;transmission;driving;output;house
cam;gear;follower;wear;roller;plug;neutral;surface;include;notch;rack;comprise;adjust;park;synchronization;bit;guide;bias;circuit;pattern
differential;expect;half;low;speed;cdrs;high;verify;cdr;shaft;predetermine;define;counter;multiply;vehicle;sum;operate;total;range;include
